Time,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6
0.00,-0.0010,1.0097,0.0623,-0.0009,3.1416,1.5625
0.10,0.0116,1.0217,0.0442,-0.2351,3.1416,1.3434
0.20,0.0246,1.0356,0.0127,-0.4654,3.1416,1.1168
0.30,0.0363,1.0380,-0.0037,-0.6871,3.0889,0.9030
0.40,0.0446,1.0350,-0.0179,-0.8981,3.0018,0.7053
0.50,0.0493,1.0333,-0.0426,-1.0953,2.9001,0.5207
0.60,0.0496,1.0338,-0.0784,-1.2773,2.7834,0.3494
0.70,0.0448,1.0368,-0.1251,-1.4427,2.6505,0.1908
0.80,0.0344,1.0433,-0.1838,-1.5899,2.4998,0.0432
0.90,0.0176,1.0560,-0.2606,-1.7092,2.3275,-0.1048
1.01,-0.0174,1.0938,-0.4113,-1.6908,2.0895,-0.3760
1.11,0.0945,0.9034,0.1007,0.5196,0.9074,-2.6943
1.21,0.0430,0.9359,0.0221,0.2252,1.0147,-2.6364
1.31,-0.0466,0.9342,0.0318,-0.2527,1.0057,-2.4070
1.41,-0.1329,0.9101,0.1040,-0.6606,0.8697,-2.2559
1.51,-0.1980,0.9139,0.1341,-0.9576,0.7219,-2.2081
1.61,-0.2437,0.9368,0.1330,-1.1905,0.5856,-2.2136
1.71,-0.2728,0.9682,0.1167,-1.3866,0.4643,-2.2473
1.81,-0.2875,1.0019,0.0940,-1.5613,0.3584,-2.2975
1.91,-0.2894,1.0344,0.0701,-1.7252,0.2678,-2.3582
2.01,-0.2795,1.0638,0.0479,-1.8873,0.1918,-2.4270
2.11,-0.2580,1.0891,0.0295,-2.0572,0.1312,-2.5026
2.21,-0.2234,1.1097,0.0160,-2.2477,0.0879,-2.5842
2.31,-0.1719,1.1254,0.0075,-2.4802,0.0636,-2.6684
2.41,-0.0942,1.1366,0.0023,-2.7893,0.0574,-2.7458
2.51,0.0081,1.1430,0.0000,-3.1416,0.0622,-2.8117
2.61,0.0731,1.1441,-0.0001,-3.1416,0.0799,-2.9117
2.71,0.1347,1.1403,-0.0002,-3.1416,0.1189,-3.0215
2.81,0.1898,1.1307,-0.0004,-3.1416,0.1859,-3.1416
2.91,0.2583,1.1226,-0.0002,-3.1416,0.2149,-3.1416
3.02,0.3209,1.1122,-0.0002,-3.1416,0.2431,-3.1416
3.12,0.3743,1.0993,-0.0003,-3.1416,0.2756,-3.1416
3.22,0.4131,1.0837,-0.0004,-3.1416,0.3225,-3.1416
3.32,3.0164,-0.8062,-0.8513,-3.1416,3.1416,-2.5956
3.42,3.0434,-0.7995,-0.8633,-3.1416,3.1416,-2.6713
3.52,3.0709,-0.7917,-0.8747,-3.1416,3.1416,-2.7463
3.62,3.1009,-0.7864,-0.8842,-3.1416,3.1416,-2.8174
3.72,3.1319,-0.7840,-0.8912,-3.1416,3.1416,-2.8867
3.82,3.1155,-0.7882,-0.8893,-2.9584,3.1416,-2.9364
3.92,3.0779,-0.8090,-0.8580,-2.6892,3.1416,-2.9703
4.02,3.0422,-0.8515,-0.7817,-2.4118,3.1416,-2.9776
4.12,3.0056,-0.9322,-0.6112,-2.1017,3.1416,-2.9119
4.22,2.9524,-1.1308,-0.1391,-1.6649,3.1416,-2.6118
4.32,2.9402,-1.2637,0.1773,-1.3481,3.1416,-2.4282
4.42,2.9583,-1.2897,0.2186,-1.1527,3.1416,-2.4573
4.52,2.9828,-1.2936,0.1998,-0.9685,3.1416,-2.5378
4.62,3.0106,-1.2935,0.1700,-0.7772,3.1416,-2.6313
4.72,3.0416,-1.2941,0.1440,-0.5775,3.1416,-2.7254
4.82,3.0759,-1.2965,0.1267,-0.3709,3.1416,-2.8159
4.92,3.1128,-1.3004,0.1185,-0.1603,3.1416,-2.9022
5.03,3.1416,-1.3057,0.1196,0.0584,3.1416,-2.9896
5.13,3.1416,-1.3129,0.1318,0.2955,3.1416,-3.0873
5.23,3.1416,-1.3173,0.1392,0.5322,3.1416,-3.1416
5.33,3.1416,-1.3099,0.1126,0.7737,3.1416,-3.1416
5.43,3.1416,-1.2919,0.0605,1.0208,3.1416,-3.1416
5.53,3.1416,-1.2600,-0.0212,1.2757,3.1416,-3.1416
5.63,3.1416,-1.2099,-0.1385,1.5395,3.1416,-3.1416
5.73,3.1416,-1.1135,-0.3576,1.8357,3.1416,-3.0833
5.83,3.1416,-0.9640,-0.7034,2.1746,3.1416,-2.8884
5.93,3.1416,-0.8878,-0.8582,2.4325,3.1416,-2.8517
6.03,3.1416,-0.8408,-0.9411,2.6631,3.1416,-2.8757
6.13,3.1416,-0.8123,-0.9876,2.8836,3.1416,-2.9258
6.23,3.1416,-0.8009,-1.0085,3.1001,3.1416,-2.9878
6.33,3.1416,-0.8054,-1.0101,3.1416,3.1416,-3.0734
6.43,3.1416,-0.8229,-0.9966,3.1416,3.1416,-3.1416
6.53,3.1416,-0.8574,-0.9519,3.1416,3.1416,-3.1416
6.63,3.1416,-0.9058,-0.8813,3.1416,3.1416,-3.1416
6.73,3.1416,-0.9658,-0.7866,3.1416,3.1416,-3.1416
6.83,3.1416,-1.0343,-0.6710,3.1416,3.1416,-3.1416
6.93,3.1416,-1.1077,-0.5396,3.1416,3.1416,-3.1416
7.04,3.1416,-1.1810,-0.4020,3.1416,3.1416,-3.1416
7.14,3.1416,-1.2481,-0.2711,3.1416,3.1416,-3.1416
7.24,3.1416,-1.3036,-0.1598,3.1416,3.1416,-3.1416
7.34,3.1416,-1.3450,-0.0757,3.1416,3.1416,-3.1416
7.44,3.1416,-1.3722,-0.0214,3.1416,3.1416,-3.1416
7.54,3.1416,-1.4401,0.1925,0.1059,3.1416,-3.0535
7.64,3.1416,-1.4478,0.2049,0.3244,3.1416,-3.1355
7.74,3.1416,-1.4480,0.1950,0.5672,3.1416,-3.1416
7.84,3.1416,-1.4407,0.1640,0.8141,3.1416,-3.1416
7.94,3.1416,-1.4237,0.1095,1.0672,3.1416,-3.1416
8.04,3.1416,-1.3924,0.0248,1.3276,3.1416,-3.1416
8.14,3.1416,-1.3384,-0.1025,1.5962,3.1416,-3.1416
8.24,3.1416,-1.1286,-0.5917,1.9809,3.1416,-2.8680
8.34,3.1416,-1.0054,-0.8494,2.2613,3.1416,-2.7744
8.44,3.1416,-0.9312,-0.9768,2.4910,3.1416,-2.7932
8.54,3.1416,-0.8789,-1.0530,2.7066,3.1416,-2.8565
8.64,3.1416,-0.8457,-1.0983,2.9178,3.1416,-2.9404
8.74,3.1416,-0.8341,-1.1172,3.1275,3.1416,-3.0338
8.84,3.1414,-0.8440,-1.1134,3.1416,3.1416,-3.1390
8.94,3.1416,-0.8769,-1.0746,3.1416,3.1416,-3.1416
9.05,3.1416,-0.9309,-1.0007,3.1416,3.1416,-3.1416
9.15,3.1416,-1.0017,-0.8951,3.1416,3.1416,-3.1416
9.25,3.1416,-1.0843,-0.7629,3.1416,3.1416,-3.1416
9.35,3.1372,-1.1739,-0.6097,3.1416,3.1416,-3.1416
